data,categoria,descricao,valor
2026-02-01,Aluguel,Aluguel apartamento,1800.0
2026-02-01,Tecnologia,Curso online,702.55
2026-02-02,Supermercado,Compra mensal mercado,76.39
2026-02-02,Academia,Mensalidade academia,181.24
2026-02-02,Academia,Mensalidade academia,36.36
2026-02-03,Transporte,Combustível,82.44
2026-02-03,Assinaturas,GitHub Copilot,65.76
2026-02-03,Aluguel,Aluguel apartamento,1800.0
2026-02-04,Assinaturas,Netflix,36.9
2026-02-05,Viagem,Hotel,1497.33
2026-02-06,Academia,Mensalidade academia,50.65
2026-02-06,Transporte,Uber,186.65
2026-02-06,Transporte,Uber,230.05
2026-02-06,Delivery,Pizza delivery,271.71
2026-02-07,Assinaturas,Netflix,117.35
2026-02-07,Assinaturas,Spotify,87.64
2026-02-07,Assinaturas,Netflix,82.11
2026-02-07,Lazer,Bar com amigos,90.58
2026-02-08,Supermercado,Compra mensal mercado,225.05
2026-02-09,Assinaturas,Netflix,159.11
2026-02-09,Lazer,Cinema,295.74
2026-02-10,Restaurante,Almoço fora,262.45
2026-02-11,Supermercado,Compra rápida mercado,232.89
2026-02-11,Supermercado,Compra mensal mercado,75.16
2026-02-13,Aluguel,Aluguel apartamento,1800.0
2026-02-13,Academia,Mensalidade academia,57.39
2026-02-14,Viagem,Hotel,972.97
2026-02-14,Delivery,iFood jantar,38.11
2026-02-14,Academia,Mensalidade academia,226.63
2026-02-15,Delivery,iFood jantar,120.24
2026-02-15,Supermercado,Compra rápida mercado,136.08
2026-02-15,Assinaturas,Spotify,270.89
2026-02-16,Delivery,iFood jantar,127.86
2026-02-16,Restaurante,Almoço fora,183.69
2026-02-16,Supermercado,Compra mensal mercado,47.23
2026-02-17,Aluguel,Aluguel apartamento,1800.0
2026-02-18,Tecnologia,Compra periférico,272.64
2026-02-19,Tecnologia,Compra periférico,606.35
2026-02-19,Transporte,Uber,26.8
2026-02-19,Academia,Mensalidade academia,73.93
2026-02-20,Supermercado,Compra rápida mercado,250.53
2026-02-20,Lazer,Cinema,121.58
2026-02-21,Viagem,Hotel,999.23
2026-02-22,Delivery,iFood jantar,223.58
2026-02-22,Delivery,Pizza delivery,125.71
2026-02-23,Viagem,Passagem aérea,1216.02
2026-02-24,Aluguel,Aluguel apartamento,1800.0
2026-02-25,Aluguel,Aluguel apartamento,1800.0
2026-02-25,Viagem,Hotel,1428.91
2026-02-25,Academia,Mensalidade academia,54.32
2026-02-26,Assinaturas,Spotify,185.08
2026-02-26,Supermercado,Compra mensal mercado,191.96
2026-02-26,Aluguel,Aluguel apartamento,1800.0
2026-02-27,Aluguel,Aluguel apartamento,1800.0
2026-02-27,Supermercado,Compra mensal mercado,222.25
2026-02-27,Tecnologia,Compra periférico,799.5
2026-02-27,Transporte,Uber,208.54
2026-02-28,Assinaturas,Spotify,129.22
2026-02-28,Academia,Mensalidade academia,86.87
2026-02-28,Aluguel,Aluguel apartamento,1800.0